"date","depth2m","depth6m","depth8m"
2010-01-07,29.2134722222222,NA,29.090625
2011-01-07,29.2598305806452,NA,29.2658162419355
2012-01-07,28.4942100694444,NA,NA
2013-01-07,28.3229849930556,NA,28.0018714027778
2014-01-07,28.9305873958333,NA,28.8160189513889
2015-01-07,28.1928369791667,NA,27.6834606875
2019-01-07,28.1237367222222,NA,28.0802296875
2020-01-07,28.3473905416667,NA,28.2627220138889
1996-02-07,NA,NA,28.751875
1997-02-07,27.6489583333333,NA,27.5529166666667
1998-02-07,29.4333333333333,NA,29.293125
1999-02-07,29.2510416666667,NA,29.0439583333333
2000-02-07,27.6006382978723,NA,27.5335416666667
2001-02-07,27.9958958333333,NA,27.9594791666667
2002-02-07,29.6070208333333,NA,29.6882916666667
2003-02-07,28.8313958333333,NA,28.9521666666667
2004-02-07,28.1096041666667,NA,28.0439166666667
2005-02-07,31.1834291666667,NA,30.9259520833333
2006-02-07,31.281025,NA,31.0320625
2007-02-07,27.767975,NA,27.54493125
2008-02-07,28.9399416666667,NA,28.7855895833333
2009-02-07,27.1144666666667,NA,NA
2010-02-07,29.2346527777778,NA,29.1173611111111
2011-02-07,28.745035875,NA,28.6330380069444
2012-02-07,29.3103338888889,NA,NA
2013-02-07,28.5036142222222,NA,28.0145222847222
2014-02-07,28.2726105833333,NA,28.3086026180556
2015-02-07,28.4801277013889,NA,28.2568377986111
2019-02-07,28.0715252986111,NA,27.9511582013889
2020-02-07,29.3309945833333,NA,29.0521381726619
1996-03-07,NA,NA,28.078125
1998-03-07,28.6745833333333,NA,28.560625
1999-03-07,29.3,NA,29.248125
2000-03-07,27.8883333333333,NA,27.6960416666667
2001-03-07,28.5074791666667,NA,28.423625
2002-03-07,28.8207083333333,NA,29.0558125
2003-03-07,28.1218723404255,NA,28.1068333333333
2004-03-07,28.8281041666667,NA,28.8470833333333
2005-03-07,30.6249479166667,NA,30.53618125
2006-03-07,30.5069666666667,NA,30.4497041666667
2007-03-07,28.0550833333333,NA,27.7544416666667
2008-03-07,27.30329375,NA,27.31236875
2009-03-07,27.1513854166667,NA,NA
2010-03-07,30.1595833333333,NA,29.5879166666667
2011-03-07,28.4121739027778,NA,28.4393201944444
2012-03-07,28.7760728958333,NA,NA
2013-03-07,29.1830814236111,NA,28.8359976805556
2014-03-07,28.2845650277778,NA,28.3051460972222
2015-03-07,29.4429456041667,NA,29.0593029861111
2018-03-07,NA,NA,28.3024576944444
2019-03-07,27.9561875069444,NA,27.8816903888889
2020-03-07,29.2534770486111,NA,28.8252038819444
1996-04-07,NA,NA,27.7514583333333
1998-04-07,28.1141666666667,NA,28.0691666666667
1999-04-07,28.2395833333333,NA,28.2004166666667
2000-04-07,27.1558333333333,NA,27.128125
2001-04-07,27.6490416666667,NA,27.6143333333333
2002-04-07,27.6450416666667,NA,27.9215625
2003-04-07,28.0263333333333,NA,28.1321875
2004-04-07,27.6085833333333,NA,27.6642291666667
2005-04-07,29.5691104166667,NA,29.5298229166667
2006-04-07,29.92261875,NA,29.8782208333333
2007-04-07,27.3613833333333,NA,27.0249
2008-04-07,26.7964479166667,NA,26.7810791666667
2009-04-07,26.8744958333333,NA,NA
2010-04-07,27.4835416666667,NA,27.443125
2011-04-07,26.9911012569444,NA,26.9500067152778
2012-04-07,27.8172060138889,NA,NA
2013-04-07,27.8426660763889,NA,27.7831431944444
2014-04-07,27.8977393402778,NA,27.9350915763889
2015-04-07,28.9242049444444,NA,28.6074232222222
2018-04-07,NA,NA,27.5089253402778
2019-04-07,27.5618560277778,NA,27.5147606666667
2020-04-07,27.9037675763889,NA,27.8805788819444
1996-05-07,NA,NA,27.58
1998-05-07,27.4916666666667,NA,26.9455319148936
1999-05-07,25.4225,NA,25.5416666666667
2000-05-07,25.9491666666667,NA,26.0004166666667
2001-05-07,27.073875,NA,26.9326875
2002-05-07,26.1537708333333,NA,26.433125
2003-05-07,26.0540625,NA,26.02625
2004-05-07,26.1773333333333,NA,26.2074166666667
2005-05-07,27.8716145833333,NA,27.7660895833333
2006-05-07,27.6021395833333,NA,27.5756
2007-05-07,26.4188666666667,NA,26.07095625
2008-05-07,25.4448458333333,NA,25.4556166666667
2009-05-07,25.6442333333333,NA,NA
2010-05-07,26.8670138888889,NA,26.8171527777778
2011-05-07,26.0813193680556,NA,26.0919072986111
2012-05-07,26.3994832569444,NA,NA
2013-05-07,26.5439871180556,NA,26.5813819305556
